person,વ્યક્તિ
bicycle,સાયકલ
car,કાર
motorcycle,મોટરસાઇકલ
airplane,વિમાન
bus,બસ
train,ટ્રેન
truck,ટ્રક
boat,હોડી
traffic light,ટ્રાફિક લાઇટ
fire hydrant,આગ નળ
stop sign,સ્ટોપ સાઇન
parking meter,પાર્કિંગ મીટર
bench,બેન્ચ
bird,પક્ષી
cat,બિલાડી
dog,કૂતરો
horse,ઘોડો
sheep,ઘેટાં
cow,ગાય
elephant,હાથી
bear,રીંછ
zebra,ઝેબ્રા
giraffe,જિરાફ
backpack,backpack
umbrella,છત્ર
handbag,હેન્ડબેગ
tie,ટાઇ
suitcase,સુટકેસ
frisbee,ફ્રિસ્બી
skis,રમત skis
snowboard,સ્નોબોર્ડ
sports ball,રમતો બોલ
kite,પતંગ
baseball bat,બેઝબોલ બેટ
baseball glove,બેઝબોલ હાથમોજું
skateboard,સ્કેટબોર્ડ
surfboard,surfboard
tennis racket,ટૅનિસ કૌભાંડ
bottle,બોટલ
wine glass,વાઇન કાચ
cup,કપ
fork,કાંટો
knife,છરી
spoon,સ્પૂન
bowl,વાટકી
banana,બનાના
apple,સફરજન
sandwich,સેન્ડવીચ
orange,નારંગી
broccoli,બ્રોકોલી
carrot,ગાજર
hot dog,હોટ ડોગ
pizza,પીત્ઝા
donut,મીઠાઈ
cake,કેક
chair,ખુરશી
couch,સો ફા
potted plant,Potted છોડ
bed,બેડ
dining table,ડાઇનિંગ ટેબલ
toilet,શૌચાલય
tv,ટીવી
laptop,લેપટોપ
mouse,માઉસ
remote,દૂરસ્થ
keyboard,કીબોર્ડ
cell phone,સેલ ફોન
microwave,માઇક્રોવેવ
oven,પકાવવાની નાની ભઠ્ઠી
toaster,ટોસ્ટ બનાવવાનું વીજળીક ઉપકરણ
sink,સિંક
refrigerator,રેફ્રિજરેટર
book,પુસ્તક
clock,ઘડિયાળ
vase,ફૂલદાની
scissors,કાતર
teddy bear,ટેડી રીંછ
hair drier,વાળ સુકા
toothbrush,ટૂથબ્રશ
steps,પગલાં
